,Binomial_name_timetree,Binomial_name,Microdraw_name,English_name,Log10Area.cb,Log10Length.cb,Log10ThicknessMedian,Log10ThicknessMean,Log10ThicknessStd,Log10PeriodMedian,Log10PeriodMean,Log10PeriodStd,Log10WidthMedian,Log10WidthMean,Log10WidthStd,Log10Area.ctx,Log10Length.ctx,Order,Provenance,Log10BodyWeight,Log10BrainWeight,Source
Dasypus_novemcinctus,Dasypus_novemcinctus,Dasypus_novemcinctus,Nine-banded armadillo,Nine-banded armadillo,2.20648355269736,2.27032788683323,-0.701411072409056,-0.628265499385583,-0.929127611841813,0.416118432424025,0.471837520569667,0.308043646016628,0.0333720915031275,0.181212581247567,0.185658551730437,2.2453758035054,1.81793980430529,Cingulata,Brainmuseum,8.3039999709552,2.32727770558442,Smaers 2021
Elephantulus_myurus,Elephantulus_myurus,Elephantulus_myurus,Elephant shrew,Elephant shrew,1.50415383834615,1.91835564144519,-0.799461386987728,-0.765771329679102,-1.14965830648824,0.301896681740947,0.416994096642807,0.3892848284623,0.172693892082814,0.189382463708232,0.0739299684844216,1.88924441343354,1.58578251529952,Macroscelidea,Brainmuseum,3.99959422567628,0.314810739840033,Burger et al 2019
Equus_grevyi,Equus_grevyi,Equus_burchellii,Zebra,Zebra,2.82154157764641,2.77402090379217,NA,-0.277341402344343,-0.468696113353063,0.612049056698038,0.721763607512376,0.736825187630062,0.254850706377573,0.409556518650648,0.506787505249948,3.34777730645187,2.76040471651976,Perissodactyla,Brainmuseum,12.4292161968443,6.41673228251232,Burger et al 2020
Erethizon_dorsatum,Erethizon_dorsatum,Erethizon_dorsatum,North American Porcupine Cell stain,North American porcupine,2.12863111057579,2.31359444796065,-0.664435795427923,-0.656676106803145,-1.06686109730755,0.392348802403466,0.538439341256225,0.52827148820352,0.065848687586962,0.180066722629724,0.122705073466591,2.48922199388737,1.9750307008193,Rodentia,Brainmuseum,8.21630429147717,2.83907846350861,Smaers 2021
Erinaceus_europaeus,Erinaceus_europaeus,Erinaceus_europaeus,West European hedgehog Cell,West European hedgehog,1.45129362405868,1.84377589253404,-0.8087530456764,-0.813665336747051,-1.18668193589758,0.449353576870875,0.507557806287934,0.423824029826673,-0.0373623847714147,0.254908035672451,0.335683652763481,1.85296769754263,1.60792793579913,Erinaceomorpha,Brainmuseum,6.75693238924755,1.20896034583698,Smaers 2021
Eulemur_mongoz,Eulemur_mongoz,Eulemur_mongoz,Mongoose lemur,Mongoose lemur,2.02826502258682,2.19273235411712,-0.685804020896716,-0.671965114401415,-1.12433461905783,0.474565483419213,0.502219640637704,0.407253285611697,0.00747141725250937,0.140981581653304,0.0768268664853151,2.49079148338773,2.09469748437029,Primates,Brainmuseum,7.10002716662926,3.00419635196612,Smaers 2021
Felis_catus,Felis_catus,Felis_catus,Cat,Cat,2.07862573672728,2.29315642070983,-0.723751948880456,-0.698822369308704,-1.06033001844485,0.304188404919086,0.500537428637207,0.490263864466925,-0.036599744438059,0.103850010010416,0.133567369088237,2.57943271889691,2.20725690343361,Carnivora,Brainmuseum,8.10167774745457,3.24259235148551,Burger et al 2019
Galictis_vittata,Galictis_vittata,Galictis_vittata,Greater Grison Cell stain,Greater grison,2.01103320924258,2.39191439498892,-0.750928891181752,-0.710734436309957,-1.07951821554146,0.576512545832093,0.557814798032716,0.273463293643383,0.106909669843628,0.133704974695565,-0.0962570023049322,2.47379523917704,2.1670408673573,Carnivora,Brainmuseum,7.76131918094799,3.14285833844428,Smaers 2021
Homo_sapiens,Homo_sapiens,Homo_sapiens,Human 20um BigBrain,Human,3.37226202786118,3.42608402018334,-0.533681152692643,-0.492713670139438,-0.911378481925545,0.453150889646028,0.518503107834035,0.341824898754315,0.136085209037635,0.181557551591277,-0.0618633103142105,3.89390487619137,3.11081063212857,Primates,BigBrain Project,11.0821425488778,7.1929342212158,Smaers 2021
Lama_glama,Lama_glama,Lama_glama,Llama,Llama,2.59236333509525,2.69107791295919,-0.556455399336644,-0.469774680459374,-0.66834599817585,0.479293580154753,0.619624201467761,0.500837874074354,0.144123171644562,0.314758066287047,0.329347101285994,3.10145685587037,2.6169828571809,Artiodactyla,Brainmuseum,11.4099731583589,5.57670639208822,Burger et al 2019
